cellTime,cell,time,none,xGlobal,local,blot,cross,z,x,y,size,gweight
NA:-1,P1,1,-1,-1,-1,-1,-1,6.88,11.25,18.9,-1,-1
NA:-1,AB,1,-1,-1,-1,-1,-1,6.88,14.4,16.11,-1,-1
NA:-1,P1,2,-1,-1,-1,-1,-1,6.45,11.16,18.9,-1,-1
NA:-1,AB,2,-1,-1,-1,-1,-1,6.45,14.31,15.75,-1,-1
NA:-1,P1,3,-1,-1,-1,-1,-1,6.88,10.53,19.08,-1,-1
NA:-1,AB,3,-1,-1,-1,-1,-1,7.74,14.49,15.66,-1,-1
NA:-1,P1,4,-1,-1,-1,-1,-1,6.45,9.63,19.71,-1,-1
NA:-1,AB,4,-1,-1,-1,-1,-1,7.31,14.94,15.57,-1,-1
NA:-1,P1,5,-1,-1,-1,-1,-1,6.02,9,20.43,-1,-1
NA:-1,AB,5,-1,-1,-1,-1,-1,6.45,15.57,15.48,-1,-1
NA:-1,P1,6,-1,-1,-1,-1,-1,6.45,8.64,20.79,-1,-1
NA:-1,AB,6,-1,-1,-1,-1,-1,6.02,16.11,15.21,-1,-1
NA:-1,P1,7,-1,-1,-1,-1,-1,6.02,8.37,21.24,-1,-1
NA:-1,AB,7,-1,-1,-1,-1,-1,6.02,16.56,14.76,-1,-1
NA:-1,P1,8,-1,-1,-1,-1,-1,6.45,8.46,21.78,-1,-1
NA:-1,AB,8,-1,-1,-1,-1,-1,6.88,16.74,14.13,-1,-1
NA:-1,P1,9,-1,-1,-1,-1,-1,6.45,9.45,20.79,-1,-1
NA:-1,AB,9,-1,-1,-1,-1,-1,6.45,16.92,13.86,-1,-1
NA:-1,P1,10,-1,-1,-1,-1,-1,6.02,9.81,21.33,-1,-1
NA:-1,AB,10,-1,-1,-1,-1,-1,6.88,17.37,14.49,-1,-1
NA:-1,P1,11,-1,-1,-1,-1,-1,6.88,9.9,20.97,-1,-1
NA:-1,AB,11,-1,-1,-1,-1,-1,6.45,17.1,13.77,-1,-1
NA:-1,P1,12,-1,-1,-1,-1,-1,6.45,9.27,20.52,-1,-1
NA:-1,ABa,12,-1,-1,-1,-1,-1,6.45,16.74,13.23,-1,-1
NA:-1,ABp,12,-1,-1,-1,-1,-1,6.88,17.73,15.21,-1,-1
NA:-1,P1,13,-1,-1,-1,-1,-1,7.31,8.82,19.53,-1,-1
NA:-1,ABa,13,-1,-1,-1,-1,-1,6.45,17.64,12.78,-1,-1
NA:-1,ABp,13,-1,-1,-1,-1,-1,6.45,17.73,16.02,-1,-1
NA:-1,EMS,14,-1,-1,-1,-1,-1,7.31,9.45,18.18,-1,-1
NA:-1,P2,14,-1,-1,-1,-1,-1,6.88,8.19,20.61,-1,-1
NA:-1,ABa,14,-1,-1,-1,-1,-1,7.31,17.64,12.42,-1,-1
NA:-1,ABp,14,-1,-1,-1,-1,-1,7.31,17.19,16.29,-1,-1
NA:-1,EMS,15,-1,-1,-1,-1,-1,7.31,9.9,17.73,-1,-1
NA:-1,P2,15,-1,-1,-1,-1,-1,7.31,8.19,20.88,-1,-1
NA:-1,ABa,15,-1,-1,-1,-1,-1,7.31,18.36,12.42,-1,-1
NA:-1,ABp,15,-1,-1,-1,-1,-1,8.17,16.65,17.19,-1,-1
NA:-1,EMS,16,-1,-1,-1,-1,-1,6.88,10.26,17.46,-1,-1
NA:-1,P2,16,-1,-1,-1,-1,-1,6.88,8.55,21.42,-1,-1
NA:-1,ABa,16,-1,-1,-1,-1,-1,7.31,18.18,13.14,-1,-1
NA:-1,ABp,16,-1,-1,-1,-1,-1,8.6,16.74,17.82,-1,-1
NA:-1,EMS,17,-1,-1,-1,-1,-1,7.31,10.44,17.01,-1,-1
NA:-1,P2,17,-1,-1,-1,-1,-1,7.31,8.01,22.68,-1,-1
NA:-1,ABa,17,-1,-1,-1,-1,-1,7.31,18.99,11.61,-1,-1
NA:-1,ABp,17,-1,-1,-1,-1,-1,8.6,17.01,18.9,-1,-1
NA:-1,EMS,18,-1,-1,-1,-1,-1,7.31,10.44,16.29,-1,-1
NA:-1,P2,18,-1,-1,-1,-1,-1,7.31,6.84,23.49,-1,-1
NA:-1,ABa,18,-1,-1,-1,-1,-1,7.74,19.71,10.89,-1,-1
NA:-1,ABp,18,-1,-1,-1,-1,-1,7.31,16.92,19.53,-1,-1
NA:-1,EMS,19,-1,-1,-1,-1,-1,6.88,10.44,15.48,-1,-1
NA:-1,P2,19,-1,-1,-1,-1,-1,7.31,6.39,23.22,-1,-1
NA:-1,ABa,19,-1,-1,-1,-1,-1,6.45,19.71,11.7,-1,-1
NA:-1,ABp,19,-1,-1,-1,-1,-1,6.45,16.2,19.35,-1,-1
NA:-1,EMS,20,-1,-1,-1,-1,-1,6.88,9.9,14.76,-1,-1
NA:-1,P2,20,-1,-1,-1,-1,-1,7.31,7.11,23.22,-1,-1
NA:-1,ABa,20,-1,-1,-1,-1,-1,6.02,19.89,11.52,-1,-1
NA:-1,ABp,20,-1,-1,-1,-1,-1,6.45,16.29,19.71,-1,-1
NA:-1,EMS,21,-1,-1,-1,-1,-1,6.88,9.54,14.13,-1,-1
NA:-1,P2,21,-1,-1,-1,-1,-1,6.88,8.01,23.76,-1,-1
NA:-1,ABa,21,-1,-1,-1,-1,-1,6.02,20.43,11.88,-1,-1
NA:-1,ABp,21,-1,-1,-1,-1,-1,6.45,16.11,19.44,-1,-1
NA:-1,EMS,22,-1,-1,-1,-1,-1,6.88,9.9,13.68,-1,-1
NA:-1,P2,22,-1,-1,-1,-1,-1,7.31,8.55,23.85,-1,-1
NA:-1,ABa,22,-1,-1,-1,-1,-1,6.45,20.07,12.24,-1,-1
NA:-1,ABp,22,-1,-1,-1,-1,-1,6.45,15.48,18.81,-1,-1
NA:-1,EMS,23,-1,-1,-1,-1,-1,6.45,9.72,13.77,-1,-1
NA:-1,P2,23,-1,-1,-1,-1,-1,7.31,8.82,23.49,-1,-1
NA:-1,ABa,23,-1,-1,-1,-1,-1,5.59,19.62,11.97,-1,-1
NA:-1,ABp,23,-1,-1,-1,-1,-1,6.45,15.39,18.45,-1,-1
NA:-1,EMS,24,-1,-1,-1,-1,-1,8.17,9.9,13.95,-1,-1
NA:-1,P2,24,-1,-1,-1,-1,-1,6.02,8.37,22.32,-1,-1
NA:-1,ABar,24,-1,-1,-1,-1,-1,8.17,20.34,12.78,-1,-1
NA:-1,ABal,24,-1,-1,-1,-1,-1,5.59,20.16,10.8,-1,-1
NA:-1,ABp,24,-1,-1,-1,-1,-1,6.02,15.3,18.54,-1,-1
NA:-1,EMS,25,-1,-1,-1,-1,-1,8.6,9.63,14.85,-1,-1
NA:-1,P2,25,-1,-1,-1,-1,-1,6.45,7.38,21.69,-1,-1
NA:-1,ABar,25,-1,-1,-1,-1,-1,7.74,20.79,13.5,-1,-1
NA:-1,ABal,25,-1,-1,-1,-1,-1,6.45,19.44,10.62,-1,-1
NA:-1,ABpr,25,-1,-1,-1,-1,-1,7.31,14.58,20.34,-1,-1
NA:-1,ABpl,25,-1,-1,-1,-1,-1,4.3,15.03,18.18,-1,-1
NA:-1,EMS,26,-1,-1,-1,-1,-1,8.17,10.35,15.3,-1,-1
NA:-1,P2,26,-1,-1,-1,-1,-1,6.45,7.2,20.97,-1,-1
NA:-1,ABar,26,-1,-1,-1,-1,-1,7.31,20.34,13.95,-1,-1
NA:-1,ABal,26,-1,-1,-1,-1,-1,6.45,19.17,10.35,-1,-1
NA:-1,ABpr,26,-1,-1,-1,-1,-1,7.74,14.49,21.15,-1,-1
NA:-1,ABpl,26,-1,-1,-1,-1,-1,4.3,15.03,18.27,-1,-1
NA:-1,MS,27,-1,-1,-1,-1,-1,8.6,11.7,14.49,-1,-1
NA:-1,E,27,-1,-1,-1,-1,-1,7.74,9.54,15.93,-1,-1
NA:-1,P2,27,-1,-1,-1,-1,-1,6.45,7.56,20.97,-1,-1
NA:-1,ABar,27,-1,-1,-1,-1,-1,7.74,20.52,14.22,-1,-1
NA:-1,ABal,27,-1,-1,-1,-1,-1,6.45,18.9,10.08,-1,-1
NA:-1,ABpr,27,-1,-1,-1,-1,-1,8.17,14.49,20.79,-1,-1
NA:-1,ABpl,27,-1,-1,-1,-1,-1,4.3,14.85,17.82,-1,-1
NA:-1,MS,28,-1,-1,-1,-1,-1,8.6,11.34,13.86,-1,-1
NA:-1,E,28,-1,-1,-1,-1,-1,7.74,9.18,16.29,-1,-1
NA:-1,P2,28,-1,-1,-1,-1,-1,6.45,8.1,21.51,-1,-1
NA:-1,ABar,28,-1,-1,-1,-1,-1,8.17,21.15,14.85,-1,-1
NA:-1,ABal,28,-1,-1,-1,-1,-1,5.59,18.99,9.54,-1,-1
NA:-1,ABpr,28,-1,-1,-1,-1,-1,9.03,14.67,20.34,-1,-1
NA:-1,ABpl,28,-1,-1,-1,-1,-1,3.87,15.03,17.46,-1,-1
NA:-1,MS,29,-1,-1,-1,-1,-1,8.17,11.43,13.5,-1,-1
NA:-1,E,29,-1,-1,-1,-1,-1,7.31,9.09,16.65,-1,-1
NA:-1,P2,29,-1,-1,-1,-1,-1,6.45,8.46,21.87,-1,-1
NA:-1,ABar,29,-1,-1,-1,-1,-1,8.17,21.15,15.39,-1,-1
NA:-1,ABal,29,-1,-1,-1,-1,-1,5.59,19.17,9.27,-1,-1
NA:-1,ABpr,29,-1,-1,-1,-1,-1,9.46,14.85,20.25,-1,-1
NA:-1,ABpl,29,-1,-1,-1,-1,-1,3.87,15.21,16.74,-1,-1
NA:-1,MS,30,-1,-1,-1,-1,-1,9.03,12.33,12.6,-1,-1
NA:-1,E,30,-1,-1,-1,-1,-1,6.88,9.27,16.74,-1,-1
NA:-1,P3,30,-1,-1,-1,-1,-1,6.88,6.66,20.61,-1,-1
NA:-1,C,30,-1,-1,-1,-1,-1,6.02,8.91,22.23,-1,-1
NA:-1,ABar,30,-1,-1,-1,-1,-1,7.74,20.88,16.29,-1,-1
NA:-1,ABal,30,-1,-1,-1,-1,-1,5.59,19.8,9.54,-1,-1
NA:-1,ABpr,30,-1,-1,-1,-1,-1,9.46,14.49,20.07,-1,-1
NA:-1,ABpl,30,-1,-1,-1,-1,-1,3.87,14.94,15.93,-1,-1
NA:-1,MS,31,-1,-1,-1,-1,-1,9.89,13.5,12.6,-1,-1
NA:-1,E,31,-1,-1,-1,-1,-1,7.31,9.36,17.82,-1,-1
NA:-1,P3,31,-1,-1,-1,-1,-1,7.74,6.21,20.7,-1,-1
NA:-1,C,31,-1,-1,-1,-1,-1,6.45,9.18,22.23,-1,-1
NA:-1,ABar,31,-1,-1,-1,-1,-1,7.31,20.61,17.01,-1,-1
NA:-1,ABal,31,-1,-1,-1,-1,-1,5.59,20.16,8.91,-1,-1
NA:-1,ABpr,31,-1,-1,-1,-1,-1,9.46,14.85,21.06,-1,-1
NA:-1,ABpl,31,-1,-1,-1,-1,-1,3.87,13.86,14.4,-1,-1
NA:-1,MS,32,-1,-1,-1,-1,-1,9.46,14.49,13.23,-1,-1
NA:-1,E,32,-1,-1,-1,-1,-1,7.74,9.09,18.09,-1,-1
NA:-1,P3,32,-1,-1,-1,-1,-1,8.17,6.03,20.61,-1,-1
NA:-1,C,32,-1,-1,-1,-1,-1,5.59,9.18,21.87,-1,-1
NA:-1,ABar,32,-1,-1,-1,-1,-1,6.02,20.43,17.28,-1,-1
NA:-1,ABal,32,-1,-1,-1,-1,-1,6.02,20.34,9.18,-1,-1
NA:-1,ABpr,32,-1,-1,-1,-1,-1,9.89,14.22,21.69,-1,-1
NA:-1,ABpl,32,-1,-1,-1,-1,-1,3.87,13.23,13.77,-1,-1
NA:-1,MS,33,-1,-1,-1,-1,-1,9.46,15.12,13.77,-1,-1
NA:-1,E,33,-1,-1,-1,-1,-1,7.31,8.37,17.91,-1,-1
NA:-1,P3,33,-1,-1,-1,-1,-1,8.6,6.12,20.88,-1,-1
NA:-1,C,33,-1,-1,-1,-1,-1,4.73,8.91,21.6,-1,-1
NA:-1,ABar,33,-1,-1,-1,-1,-1,5.59,20.16,17.64,-1,-1
NA:-1,ABal,33,-1,-1,-1,-1,-1,6.02,20.61,9.36,-1,-1
NA:-1,ABpr,33,-1,-1,-1,-1,-1,9.46,14.22,22.14,-1,-1
NA:-1,ABpl,33,-1,-1,-1,-1,-1,4.3,13.23,13.23,-1,-1
