cellTime,cell,time,none,xGlobal,local,blot,cross,z,x,y,size,gweight
NA:-1,AB,1,-1,-1,-1,-1,-1,7.31,26.19,15.03,-1,-1
NA:-1,P1,1,-1,-1,-1,-1,-1,7.31,32.31,23.13,-1,-1
NA:-1,ABp,2,-1,-1,-1,-1,-1,6.45,25.2,17.37,-1,-1
NA:-1,ABa,2,-1,-1,-1,-1,-1,6.88,25.56,14.4,-1,-1
NA:-1,P1,2,-1,-1,-1,-1,-1,6.88,33.39,21.42,-1,-1
NA:-1,ABp,3,-1,-1,-1,-1,-1,6.88,25.02,17.64,-1,-1
NA:-1,ABa,3,-1,-1,-1,-1,-1,6.45,25.74,14.13,-1,-1
NA:-1,P1,3,-1,-1,-1,-1,-1,6.88,33.3,21.51,-1,-1
NA:-1,ABp,4,-1,-1,-1,-1,-1,6.45,26.1,18.45,-1,-1
NA:-1,ABa,4,-1,-1,-1,-1,-1,6.02,25.74,14.4,-1,-1
NA:-1,EMS,4,-1,-1,-1,-1,-1,6.88,32.85,19.62,-1,-1
NA:-1,P2,4,-1,-1,-1,-1,-1,6.88,34.02,22.86,-1,-1
NA:-1,ABp,5,-1,-1,-1,-1,-1,6.02,26.37,18.9,-1,-1
NA:-1,ABa,5,-1,-1,-1,-1,-1,6.45,25.02,14.22,-1,-1
NA:-1,EMS,5,-1,-1,-1,-1,-1,6.88,32.67,18.99,-1,-1
NA:-1,P2,5,-1,-1,-1,-1,-1,7.31,34.47,22.77,-1,-1
NA:-1,ABp,6,-1,-1,-1,-1,-1,5.59,26.01,19.62,-1,-1
NA:-1,ABa,6,-1,-1,-1,-1,-1,6.45,24.3,13.77,-1,-1
NA:-1,EMS,6,-1,-1,-1,-1,-1,6.88,32.4,19.17,-1,-1
NA:-1,P2,6,-1,-1,-1,-1,-1,7.74,34.11,23.49,-1,-1
NA:-1,ABp,7,-1,-1,-1,-1,-1,5.59,25.56,20.52,-1,-1
NA:-1,ABa,7,-1,-1,-1,-1,-1,6.88,23.94,13.32,-1,-1
NA:-1,EMS,7,-1,-1,-1,-1,-1,6.45,32.49,18.9,-1,-1
NA:-1,P2,7,-1,-1,-1,-1,-1,7.74,34.56,23.85,-1,-1
NA:-1,ABp,8,-1,-1,-1,-1,-1,6.45,25.29,21.06,-1,-1
NA:-1,ABa,8,-1,-1,-1,-1,-1,6.88,23.94,12.24,-1,-1
NA:-1,EMS,8,-1,-1,-1,-1,-1,6.45,32.76,18.09,-1,-1
NA:-1,P2,8,-1,-1,-1,-1,-1,7.74,35.28,25.02,-1,-1
NA:-1,ABp,9,-1,-1,-1,-1,-1,6.45,26.46,21.15,-1,-1
NA:-1,ABa,9,-1,-1,-1,-1,-1,7.31,24.48,12.6,-1,-1
NA:-1,EMS,9,-1,-1,-1,-1,-1,6.45,32.94,17.55,-1,-1
NA:-1,P2,9,-1,-1,-1,-1,-1,7.31,35.46,25.2,-1,-1
NA:-1,ABp,10,-1,-1,-1,-1,-1,7.31,26.37,20.34,-1,-1
NA:-1,ABa,10,-1,-1,-1,-1,-1,6.88,24.12,12.87,-1,-1
NA:-1,EMS,10,-1,-1,-1,-1,-1,6.45,33.39,17.01,-1,-1
NA:-1,P2,10,-1,-1,-1,-1,-1,7.31,35.01,25.47,-1,-1
NA:-1,ABp,11,-1,-1,-1,-1,-1,7.74,27,20.25,-1,-1
NA:-1,ABa,11,-1,-1,-1,-1,-1,6.45,23.49,13.23,-1,-1
NA:-1,EMS,11,-1,-1,-1,-1,-1,6.45,33.84,16.11,-1,-1
NA:-1,P2,11,-1,-1,-1,-1,-1,7.31,34.29,25.92,-1,-1
NA:-1,ABp,12,-1,-1,-1,-1,-1,6.88,27.36,20.79,-1,-1
NA:-1,ABa,12,-1,-1,-1,-1,-1,6.88,24.03,14.13,-1,-1
NA:-1,EMS,12,-1,-1,-1,-1,-1,6.88,33.75,15.93,-1,-1
NA:-1,P2,12,-1,-1,-1,-1,-1,7.31,33.48,26.28,-1,-1
NA:-1,ABp,13,-1,-1,-1,-1,-1,6.88,27.45,20.34,-1,-1
NA:-1,ABa,13,-1,-1,-1,-1,-1,6.45,24.21,14.13,-1,-1
NA:-1,EMS,13,-1,-1,-1,-1,-1,6.88,33.3,15.48,-1,-1
